Comment Number,Comment Text
58,Lawig2 pa ni nga rally gali kng matabo
59,"The nicest thing about ICC…everything will be fair,Due process will be given and there will be no under the table."
60,"Now and forever
...."
61,After almost 40 years pa
62,Pwede namang Kahit hanggang sa kahuli-hulihan niyang hininga.
63,Forever I hope ...
64,"With his multiple Crimes against humanity charges ?He won’t see the
until his last breath"
65,"Nag bibigay ba ng 100,000 pesos sa Netherlands ?"
66,What kind of question is this?
67,It depends on his cases.
68,"Until he die...
Also the senator's don't come to back Philippines...they make asylum.."
69,Rally pa more...para more years pa more
70,Till death do them part...
71,He deserve to pay for what he had done. Killing people in the PHILIPPINES
72,"wait, until Duterte will got mad again and kick the ICC judges"
73,no return no exchange
74,"Kawawa naman yung matanda. Madami ng nararamdaman. Lord, always please keep the old man we love safe. #PrayForLeBronJames"
75,Dyan na lng si Rodrigo Duterte hanggang sa kanyang huling hininga.
76,Wala tayong jurisdiction dyan. Kagaya ng ibang guilty suspects magtatagal yan dyan.
77,No time limit. Sky is the limit
78,Hanggang d pa bumubaba c marcos.. its better nandyan ka... Its safe kay sa dito ka... Maganda naman ang trato nang facility nila.. parang bahay nga eh... C inday sara muna bahala dito...
79,Ok naman ang tirahan nya ang importante makaligtas sya kay mang Taning. May panahon p para magtika hanggat buhay p sya. Sa mga dds kng mahal nyo sya ipagdasal nyo ang kaligtasan sa kabilang buhay. Mas matindi ang kaparusahan kng hindi nya pagsisihan at… See more
80,Until he transfers to prison of course!!!
81,May forever po.
82,Pwde forever nalang
83,until his last breath...
84,Till Death!!! Asa pa kayo.
85,30 yrs
86,For as long as it takes.
87,"Supporters of former President Rodrigo Duterte may have to wait a significant amount of time before he returns to the Philippines, as his legal journey at the International Criminal Court (ICC) could take several years to unfold. The process, which inv… See more"
88,The court and the judge said that the investigations will start on September 23rd this year and it may take 8 years to process then sentence him if found guilty.
89,Sorry to say he’s not coming back.
90,Bring back DUTERTE HOME after 30 years.
91,"POV its a blessing in disguise for VP Sarah as well as for Atty Harry. Since Inday is about to face her impeachment after the new sets of senators will take their oath, Atty. had to test the waters of the asylum privilege given to political personaliti… See more"
92,Sa mga pro or anti wag na kayo magpa stress Sarili lang nu niloloko ninyo anuman ang resulta verdict o convicted o ano paman dikdik Wala na kayong magawa o Maka tulong mag rally kung mag ka sakit kayo na infections o na depression
93,Yes sana ma convict
94,Life is end the ICC jail in the Hague!
95,2017 trillanes et filed crime against humanity kay pres digong .hes widrawAl is useless march 2019 nasa jurisdiction pa before widrawal according to ICC alam ni digong tagilid na siya kaya nagwidrawal siya .better ask digong alam din yan ni atty sal.… See more
96,In 3 years ICC will have the conviction plus 30 years maximum punishment at his age... well if we compute his 80 years old now plus 3 plus 30..hmmm he would be 113 years of age...that's his age ang he will still be staying in ICC detention...
97,Diba nag last view kana nung nasa window k ng eroplano..
98,No ending to suport the man who make pilipinos safely
99,We can wait as long as he is in good condition
100,"Do not want to do unto others
If you do not want to do unto you"
