Comment Number,Comment Text
38,Giving scares to kids and helping them realize that their fears were not a reason why they couldn't move forward. Incredible legacy
39,"You good sir scared me couple times with your episodes but it was worth it, taught me courage to protect my love ones"
40,"Thank you for your phenomenal performance, you’ll be greatly missed the things we do for love Rest easy Mr.Cohen you’ll always live on in our hearts!"
41,"Okay 2025, stop taking childhood legends too soon"
42,Thank you for making my childhood memorable from these shows. RIP
43,Courage is one of the Best cartoons in the world thanks a lot thanks for everything!
44,Glad we got the movie finale before his passing
45,one of my favorite childhood cartoon shows. forever grateful!
46,Didn't the co writer pass (rip </3) and not the voice actor? Maybe I'm miss reading x.x my apologies if so.
47,It was a cohen who made this show
48,It was one of my favorite cartoons
49,I love this cartoon but it traumatized me when I was a kid
50,It's sad to see your childhood slowly dying in more ways than just on TV. R.I.P. Courage
51,"Commenting to say like most people here, courage was an integral part of my childhood, rest in peace and thank you"
52,Thank you for my childhood
53,Tony Strouse RIP to one of the GOATs
54,Genice Red Elk ok well now we have to watch this in his honor
55,This is my childhood cartoon Thank you for the memories
56,One of my all time favorite cartoons! I am very sad to read this.
57,"Recently started watching the full series again, wild.."
58,This was real art....
59,May his soul rest in peace
60,Wow I normally don't get too emotionally impacted as I don't know these actors/actresses who pass away - but this one hit different..
61,JuCashSD we was just talking about this show
62,Aww a piece of my childhood died
63,The episode with the hunchback would always get me choked up. Them playing together and ringing the bells ughhhh
64,Rest in Piece legend thank you for the greatest childhood
65,"Courage was such a wonderful dog, thank you for teaching me during my childhood. May you rest in peace."
66,"""The things I do for love"" is still used by me to this day! R.i.p"
67,Rest in peace David. Thank you for bringing this scared by courageous dog to our lives. We will be forever grateful.
68,That was me and my family’s favorite show to watch on tv I so upset that he passed away but I know it’s the lord’s time to go home we’re all gonna miss him my his soul rest in peace
69,"Thank you for making courage, and also Muriel who reminds me of my grandma."
70,This show was my absolute favorite after it's first episode. Thank you so much for the wonderful years and rest in peace.
71,"Thank you Mr.cohen for making my childhood experience the best of all time. I grew up watching the show and it gave me so much confidence, laughter and more. it gave so much imagination and creativity.
GIPHY"
72,"I loved this show as a child. I still do to this day. It's one of the best cartoons that teaches some amazing life lessons, rounding out with a spectacular finale with two important lessons. Those lessons being, in spite of everything, if something mea…
See more"
73,This show was my favorite. Loved courage
74,"Thank you David Rest in peace, we will miss you"
75,Rest in Paradise. I hope you lived well. May god grant you passage unto heaven. Such a great talent and gift. Thank you.
76,That cartoon was very funny and thoughtful. It fostered imagination and creativity. Congratulations to this gentleman for creating something so transcendent and beautiful.
77,Rest in peace always drawn to courage loved that show
78,"Rip man, still quote courage as an adult lol"
79,These is still one of the best shows iv seen in my life where can I get them so I could relive the moments again in honor of the late Steven Cohen may his creative soul rest easy thanks for blessing us with these masterpiece
80,Thank you for making my childhood awesome rest in peace
81,"RIP beautiful soul of courageously creative man. Thank you for all the love, laughs, and hours shared in our homes with loved ones through the years. Can't thank you enough."
82,Thank you for your work in Courage: the cowardly dog. You made my childhood better
83,RIP david i always watch this show it was my sisters favorite and me we always watch this on our tv it was so beautifull to watch onve more RIP david fly high
84,one of the top tier childhood shows
85,"This was my show! wow, Loved the fact that courage was a scared dog but loved his owners even if he was not treated right!"
86,Thank you so much for making my childhood amazing.
87,Tao Goebelbecker crazy how I was just talking about watching this last week..
88,"Introduced chatgpt, back then .. love the show still"
89,"Rip to this wonderful creator of my childhood show. This show it's not only enjoyment to me as a kid, but it also taught me a valuable life lesson about you can do everything in life despite feeling so scared."
90,I loved courage so much and watched the final episode and still makes me tear up. Love this post so much for him! Rest in peace
91,Justo anoche que nos acordamos del Perro cobarde con mi mamá Katia
92,"My heart breaks hearing this, courage always was a big influence on how I take care of the ppl I love in my life, to face the monsters and rescue them from danger. This man, this wonderful human brought not just me but countless more the secret to brav…
See more"
93,R.I.P David. Me and my friend literally quote so many lines from Courage the Cowardly dog. Especially the episode where they went to New York. Thank you for the lessons of facing our fears in life.
94,"I would always watch this tv show when I was a kid at my grandparent's house. This cartoon gave me so much nostalgia, love and a sense of relief after its beautiful lessons. May you rest in peace Mr. Cohen, thank you for making my childhood amazing!"
95,"“The things I do for love” will always remind me of how unconditional love is and that this show taught me not just about unconditional love but also how to fight fear and have courage in deepest times, thank you Mr.David Cohen"
96,RIP. Thank you for the Courage cartoon.
97,"I loved Courage the dog and always wished as a kid I could have him as a real life pet.
Thank you sir for creating this cartoon I loved as a kid"
98,"Thank you for creating courage the cowardly dog. It was a weird, hilarious and heart felt experience"
99,RIP Legend
100,"Rest in peace. I send my condolences. Thank you, you’ll forever be apart of my childhood."
101,Thank you so much for making my childhood awesome rest in Peace
102,"You did a great childhood for us, thank you david steven cohen, you may rest in peace on the heaven"
103,My childhood cartoon
104,"That series was crazy, scary but very smart, however some of parts was truly beatiful."
105,rest in peace David Steven cohen of creating my childhood show
106,R.I.P you beautiful mind you.
107,It's been wonderful to watch my favorite childhood show. David will always be my greatest legend
108,"Thank you David for making this show I will always remember this and I love this show so much
GIPHY"
109,"One of the shows my grandmother was willing to watch with me, because we both loved horror. And yet, still taught important lessons. One of the greatest cartoons ever made."
110,"Courage the Cowardly Dog"" was an unforgettable part of my childhood. David Steven Cohen’s storytelling shaped so many memories and taught us the value of bravery even in fear. His legacy will live on through his work. Rest in peace."
111,Aww thank you for all Courage shows it was my favorit on cartoon. Rest in peace david.
112,Please don't turn into a ghost asking me to return the slab
113,"Thank you for making our childhood memorable.
Rest in peace"
114,"Me and my dad love Courage he is one of my favorite cartoon dogs, RIP Mr. David Cohen."
115,"RIP rewatching Scooby Doo & Courage The Dog movie * Tears of Joy , beloved * Hope was on Multiverse Game
GIPHY"
116,"Rest In Peace, King. thank you for creating such an amazing masterpiece."
117,"I loved watching Courage, growing up when i was a kid
Thank you for the wonderful memories !!
I still reference the show to the day!"
118,Rest in peace I have nostalgia everytime I watch old episodes and reminds me of my Nana
119,"Allot of confusion in the comments, this guy was a writer on the show, not the voice of courage or the creator of the show.
Still, R.I.P none the less"
120,Thank you for being a part of our wondeful creative and imaginative childhoods!
121,"brought joy, laughter, and lessons to a big piece of my childhood. May the heavenly father welcome you home"
122,"Resr In Peace David, my kid's childhood friend is Courage, wonderful creativity"
123,"Condolences,my favorite childhood cartoon"
124,"rest well, thankyou for making a good cartoon and courage little dog"
125,Awwww Borris the feels even in the comments
126,RIP Mr. Cohen. Thank you for writing my favorite cartoon that I still watch today even as an adult. You along with Mr. Dilworth taught us all the meaning of “Courage”.
127,"Love watching Courage the Cowardly Dog. Most of the villains were my favourite especially Freaky Fred. He always ends his words with ""Naughty"" and his creepy smile and looks. Rest In Peace
GIPHY"
128,"I loved this show so much! To this day it I still do and it will always hold a very special place in my heart, thank you for being a part of that and for being there when no one else was."
129,"Thank you, Dr. David Steven Cohen, for your unforgettable contributions to animation and storytelling.
Rest In peace Sir!"
130,This was my dad’s favorite cartoon. May you both RIP. STUPID DOG!
131,Thank you for making my childhood great againalways my favorite show and always will be
132,More macaroni … less cheese!
133,This was one of my favorite cartoons! I still remember watching it with my friends after we went out to play football together and it brought joy to us. Thank you David for giving us this treasure.
134,John Russell Dilworth is the artist and creator of Courage the Cowardly Dog. This post is confusing
135,Aww one of my absolute favorite cartoons as a kid. Rip
136,Thank you for bring so much fun in my life Rest in peace
137,My friend and my companion with his grandma.he left the house empty.still missing the bravest dog I ever knew.
138,Thank you David for bringing me one of my favorite cartoons
139,Thank you for making my childhood better with this show & all the memories I made with courage. Rest in peace
140,I used to love this show when i was kid when i was down and i used to watch this show he made my child hood bareable
141,The sweet memories of this show. Thank you for creating a legendary piece of work!
142,He left a screen dog hole in my heart. RIP one of the best voice actors in Cartoon Network history. But at least their family cannot be together again.
143,"Thank you David for bringing Courage to life to teach the lesson that no matter how frightening a situation is, if a loved one is at risk we are going to be courageous in our actions to help them."
144,my daughter and I loved/were haunted by this show. So brilliant and beautifully done…RIP
145,"The bravest dog ever in cartoon network
(Besides Scooby Doo and others)"
146,"This show taught me that courage doesn't mean not being afraid, it means being afraid but still fighting to protect your loved ones. Thank you for such a great show."
147,Rest in peace David you brought joy laughter and courage for us through a cartoon rest well
148,Sir thank you for giving us a series to enjoy since my childhood days and rest in piece sir
149,"Rip, my childhood cartoon awesome memories"
150,"Thank you, David. You made my Childhood.. I always remember you!!"
151,"Returned the slab Rest in paradise, thank you for giving us Courage"
152,"Rest easy, my friend. Nobody outruns their slabs; they all find us eventually. Thank you for such a unique show that'll will surely withstand the sands of time far longer than most."
153,"He gave us one of the BEST tv shows, thank you"
154,This is so sad. Such a loss and it really puts into perspective we're all getting older and we'll never get this time back.
155,It was one of my fav show during my childhood era.. Thankyou for making my childhood so better
156,Rest in peace thank you for the wonderful memories and fun your work has given me as young autistic kid growing up with depression and as a young grown man now
157,Rest in peace. I loved courage the cowardly dog
158,"If only they had made a movie for Courage, would have been a masterpiece. RIP"
159,Thank you David for all those good memories still I watch it randomly for old memories R.I.P
160,I'm so sad may he RIP my condolences to his family
161,"..courage is my childhood..growing up..til i got my own family and I always tell myself that catchphrase ""things I do for love""..I love that dog..thank you for sharing him to the world.."
162,"One of my favorite cartoons, Courage The Cowardly Dog. Rest in peace, David."
163,Thanks for making my childhood one of a kind. Rest easy king. Forever grateful
164,Thank you Sir Courage has made A good apparition in my life I believe that's why I would go out of my way to help others while I can do so may you live forever Rest In Paradise ...
165,Thank you for bringing my son great joy when he was little. I too loved to sit on the floor with him and watch. Great memories. RIP David!
166,"I recently started showing courage to my now 9 year old daughter, passing it down as a childhood show since it was one of mine"
167,I can relate to this Dog I was learning Japanese and English growing up when I was little and when I had to tell my parents something I go “agrbrka fhejebfje dudndbdbbdjjfgcgd!!!”
168,I thankfull that I grew up watching this show. Rest In Peace.
169,"Courage is not that you are not afraid, courage is that you do things even when you fear them...really the apt name... Thank you for courage"
170,Thank you for the scares and the memories! Rest easy!
171,"I remember watching it when it was a What a Cartoon Show and thinking, ""That would be an amazing show!"" Then out of nowhere BOOM! It became a series and I was so psyched! You made so many great memories with this character and I thank you for being an…
See more"
172,Me and my sister Favorite show Still love it . Thank you for making my childhood Great . RIP David
173,"My childhood cartoon, the greatest cartoon i ever watched, i'll never forget you david, you made my childhood happy and full of excitement or eager, i wanna thank you for making the greatest show"
174,May your soul rest in peace. Thanks for giving us good childhood memories.
175,"Thanks you for the great show. It's my favourite show as a kid, thanks youand may your rest in peace"
176,"This haunted me for a bit as a kid. Really loved watching Courage back in the day.
Tenor"
177,This show is permanently etched into my soul. Not long goes by without me quoting or referring to Courage. Rest easy
178,"RIP. My childhood cartoon and where my first in-game name comes from. Love watching this before i sleep through the night.
GIPHY"
179,RIP. Thank you for everything
180,I remember sitting in front of the Tv both terrified and mesmerized we cried and laugh at the same time. We will remember you as a core part of our childhood R.I.P
181,RIP to a legend. Thanks for making my childhood awesome!
182,Rest in paradise David Steven Cohen for courage the cowardly dog best child hood show ever loved Muriel always bashing Eustace over the head with rolling pin for scaring courage.
183,"This is literally my favorite cartoon comedy besides mr. bean and angry birds, this cartoon made my childhood special. Thank you sir David, you may rest in peace"
184,"Thank youu for making part of my childhood RIP Kinggg
Tenor"
185,"Rest in peace.Thank you for the wonderful memories, and tv shows."
186,"Definitely my all-time favorite cartoon growing up. But as I've gotten older, I've come to realize that in many ways, we all resonate with Courage, the Cowardly Dog. There are times when we feel like that scared dog, unsure of what’s ahead, too afraid …
See more"
187,Thank you for the childhood memories condolences to the family.
188,My condolences and prayers
189,I remember staying up until 3am to watch this as a kid. RIP to a great creator.
190,My childhood memories I’m so glad I was in that era where lots of great shows was aired on TV. Rest in Heaven Sir
191,"Thank you and RIP, to be frank I didn't knew who made this now I know and paying respect for making childhood memorable with courage the coward dog that too while we were about to leave for the school, this show used to aired"
192,"Best description of Courage - it's strangely beautiful and poignant. Rest well, David Steven Cohen."
193,RIP I love your talent that brought to life the Courage the cowardly Dog. I saw all the episodes even bought my granddaughter the collection. Love that little Dog. May you rest in peace wonderful soul. ⚘️
194,Thank you very much for making our childhood so unforgettable.
195,My favorite cartoon so sad to see this. Everyone in the middle of nowhere rests in peace now.
196,"Thanks for being a part of my childhood
Rest in peace"
197,RIP and thank you for everything
198,"This show was awesome. Everything was seen through the eyes of the dog, this meant that everything he thought was attacking his owners wasn’t what was really happening!"
199,Ohh nooo omg no sigh my favorite dog cartoon sigh send the prayer for their families and rest in peace heartbreak
200,Prayers and condolences to his family
201,"A cherished childhood show.
RIP David"
202,"Anyone that hates this show, please!!!! Rethink your opinion. This show is awesome and funny and creepy. 1 of a kind show with the most lovable protagonist. RIP"
203,Awe how sad. A truly beloved cartoon. Still put it on here and there.
204,Not me crying on a Tuesday
205,He brought so much joy and insight to our lives through his work on Courage. His legacy will live on in the hearts of everyone he touched. Rest in peace.
206,John P Dilworth was the creator of the show. Cohen was one of the writers. Still great work
207,"1 of my favourite cartoons growing up
Rosie Wooding"
208,Rest in Peace Courage was a favorite.
209,Courage was my favorite cartoon shows that my big sis let me watched this
210,One of my favorite cartoons to this day! Thank you for being the amazing voice behind Courage.
211,Rip. Thank you for partially making me who I am today with the amazing show you created! I’m always going to cherish the hours and I’m so happy to say I have the whole series on dvd forever. Tonight I’ll watch a good few of my favorite episodes in memory.
212,RIP sir you made my childhood memories beautiful
213,"Thank you David, for your stupid dog making me look bad. Learning of the things we do for love. Made me the man I am today. Wouldn't trade it for anything"
214,Hands down the best cartoon ever made. Absolutely iconic and unable to be replicated. Rest in peace and thank you for being a part of my childhood!!!
215,Thanks for the wonderful childhood memories! Rest in peace.
216,"Ohhhh, Head Writer. I was like but this is not John R. Dilworth, the creator. I thought I was wrong my whole life for a minute there. R.I.P., king. Absolutely one of my favorite cartoons growing up."
217,Courage the cowardly dog was my favourite cartoon ever..may he rest well
218,Thank you so much for a wonderful childhood. May your soul rest in peace
219,Rest in Paradise King! Thank you for all the scaries and giggles
220,"I turn 25 this year and i still go to bed with this on most nights, along with adventure time. Thank you and may you rest easy."
221,Courage is one of the best animated masterpieces. Rest well in a better place.
222,Thanks for making my childhood great rip
223,"RIP, thank you for the best show"
224,Thank you for the fun memories I will always cherish
225,"Rest in peace, David. Your work on 'Courage the Cowardly Dog' brought both chills and joy to so many of us. Thank you for the unforgettable stories that made our childhoods a little more courageous."
226,Thank you for giving us all courage. Pun intended. Rest in peace good sir.
227,May his soul Rest In Peace!
228,"Oh no...rest in peace and thank you for creating such a beautiful and impactful show
GIPHY"
229,Bravest cartoon dog my courage
230,"RIP Mr. Cohen.
Thank you for being a part of my childhood! One of my favorites of all time!"
231,Great show and great man.
232,wow so sad loved courage thanks for what you contributed rest in peace
233,Thank you for a amazing childhood show that expanded my imagination may you rest easy
234,"Whoever runs this account, thank you.
It may have been John Dilworth’s show, but he didn’t make it alone. And any lead writer on a show like Courage hits just as deep as someone like Stephen Hillenburg when it comes to their passing. …
See more"
235,The kind of childhood trauma we’re thankful for. RIP
236,"Rest in beautiful eternal peace David Cohen. Thank you for the most awesome show of my youth (and beyond).
Your legacy will live on forevermore."
237,"Whaaat? No way I was just binge watching Courage the Cowardly Dog the other day reminiscing on my childhood That was my absolute favorite show as a kid it turned me into the weird creepy horror lover I am today RIP to a real one I'm gonna be watch…
See more"
238,"I've always watched in the morning with my parents in the rest room, good moments that I'll never forget. Thank you for the memories"
239,"Love Courage the Cowardly Dog
Rest in Peace"
240,"*scared, sad Courage noises*
RIP and thank you for one of the only good parts of my childhood.
GIPHY"
241,Man! I was a teenager watching courage. Thank you for the beautiful memories. R.I.P
242,"Courage and Ed, Edd, N Eddy are my two favorite cartoons to have ever come from Cartoon Network Thank you for all of my wonderful childhood memories. You will be missed."
243,Check the smile of David n Courage Thank you for making our childhood be 1 of the best
244,Rip buddy. Love is eternal
245,"This one hurts. I grew up with Courage, and love it to this day. Rest in Peace. Thank you for creating something that gave me the love for all things spooky and weird."
246,Thank you for shaping my childhood and making me the person I am today.
247,Good memories watching courage with the kids. R.I.P. sir.
248,"Rest in peace dear David.
You made many childs' life rejoicing through their distress!"
249,A little dog that taught us fear shouldn’t stop us from doing anything. Rest in heaven man
250,"My children had the joy of watching their first episode of courage on my 32nd birthday. although it may seem brash or brazen. I genuinely enjoyed watching with them and explaining the obvious . My heart swells knowing you’ve transitioned but you are t…
See more"
251,Awwww. Rip sir. Courage was my favorite cartoon character and i have a tattoo of him.
252,Honestly my favorite cartoon growing up. Thank you David rest easy.
253,Thank you for making my comfort show. I loved this as a kid
254,My kids love binging courage and I told them and they immediately put it on. Thank you for making my childhood amazing (and getting me into horror lol) and helping making bonding memories with my children.
255,Great guy he was. I'm sure he showed some courage himself during his fight. God Bless Him.
256,"RIP... I still watch Courage the cowardly dog ... Thanks for your wonderful gift, you made my childhood memories fresh forever"
257,Rest in peace Oh the things we do for love
258,Rest in peace to the greatest man of my childhood
259,Rest in peace David. You made my childhood amazing!
260,"Thank you for being a part of my childhood Courage was one of my fav cartoons taught me so much that it’s ok to be scared sometimes especially wanting to protect your love ones you’re a forever legend that will never be forgotten love you deepl…
See more"
261,Rest in peace you inspired many kids to face their fears including myself! Thank you so much!
262,Thank you for being a voice in my childhood. Rest easy
263,"Thank you for bringing my childhood the scariest, weirdest, bizarre, and absolute favorite TV show as a kid even though some episodes gave me the creeps and nightmares it was worth it. Loved every episode and now I get to watched them with my kids. RIP"
264,This animation was best back in the days WORLD OF COURAGE
265,"RIP.
thank You so much..."
266,"It was my comfort show as a child. Courage taught me that bravery isn't doing the scary thing WITHOUT fear, it's doing the scary thing EVEN THOUGH you're terrified. Rest in peace knowing you helped so many of us Sir. Your legacy will live on."
267,"The man who traumatized an entire generation with ""return the slab.""
Rest well, good sir."
268,Thank you for inviting us into your wonderful world!
269,Thank you for making our childhood awesome sir.
270,"thank you for this masterpiece‚ you really did a great job and it marks in everyone’s mind FLY HIGH the king!
GIPHY"
271,"John R. Dilworth was the creator of Courage the Cowardly Dog. However, David was the head writer on the show, and wrote 34 episodes of the series. He was a major influence on the show and he will certainly be missed."
272,R.I.P what a pity… that was one of the most memorable voices on Cartoon Network for sure
273,"Thank you for an incredibly meaningful character, rest In peace."
274,"Was one of the best shows growing up back then, RIP Dave"
275,"Even in the face of peril, for Muriel, Courage was Couragous and boundless. ""The things I do for love"".
Rest in peace, and thank you for all the best memories growing up as a kid."
276,Loved this show back then when I was little. Courage the Cowardly Dog was a funny show thank you for everything you did in this show may you R.I.P
277,"Favorite episode ""return the slab"" man loved that show
Tenor"
278,Rest in Peace David. You were a part of our childhood.
279,"Rest in peace, now i wanna watch it again for those memories"
280,Courage the cowardly dog is my favorite cartoon of all time What a legend
281,I loved the show growing up as a Child.
282,"Rest well, friend. Thank you for being a part of my childhood."
283,"Thank you David! Late  and 2000s kid. Grew up around a tv with Cartoon Network. My bros and I would watch this all the time after school and during the Summer. Some of our best memories. Almost 30 and we still quote lines from the show that the impa…
See more
GIPHY"
284,"Thank you for all the memories of watching Courage! Lessons learned, it's okay to be afraid and love deeply"
285,Rip this show will forever live rent free in my head and in my heart
286,This is my childhood memories the courage
287,"Rip, thank you for my child hood long fear of eggplants."
288,Rip to the best writer
289,The first show that made me scared a lot in my childhood
290,"Rest in peace sir, you made my childhood memorable and fun,"
291,Rest In Peace Mr. Cohen
292,Thank you for being a part of my childhood
293,"Courage doesn't mean the absence of fear, thanks for Courage, Rip David.."
294,My childhood favorites! Also it's based on a true story about skinwalkers
295,God bless and prayers up.
296,I loved this show and watched it with my older daughter!
297,"Rest in peace, I loved to watch Courage as a little kid, it always brought to me joy and happiness, I really appreciate it thank you so much for such a beautiful cowardly dog"
298,Thank you for everything! May you rest in peace!
299,"Some episodes really frightened me, regardless I loved watching this show."
300,Rip one of the best cartoons ever
301,Rest in peace
302,"This show was iconic and adventurous actually kinda scared me a few times wish we could have gotten a revamp b4 he went but I'm so glad to be a 90's baby our cartoon network was just unmatched Gold!! Rest well ""Ya Fool"""
303,Yuliana Hernandez-Morales shout out to this man for helping me traumatize you and jr RIP
304,Oh ffs nooooo rest in peace dude thank you for giving me a wonderful childhood by bringing the show to light. God bless your family.
305,Was one of the best cartoons ever made.
306,"I enjoyed this show before but thanks for ur work, rest in peace"
307,I loved this Cartoon rest in peace
308,I loved this show
309,RIP - the cartoon was always interesting/ scary but would draw u in.
310,I was just watching it last week love courage
311,"I'm heartbroken This show formed my sense of humor as a kid and provided fuel for my first nightmares RIP
GIPHY"
312,I also love this show. RIP David.
313,"i have a courage tattoo, it’s my favorite childhood show. thank you david"
314,"“Return the slab” always haunted me back then, but always pulled through Thanks for the core childhood memories"
315,"For anyone unaware, he didn't voice Courage, or anyone on the show. However, he was their head writer, just as important. He and Dilworth's minds created the stories we still so cherish today."
316,"RIP David, thank you for gifting us courage!"
317,This show along with another book called “where the red fern grows” introduced me to the idea that dogs are some of the greatest family one could ever have. I still think about Courage the Cowardly dog when I deal with anxiety. Rip
318,Rest in peace
319,"What I love about this show is how it didn't need to follow certain clichés that other scary kid shows from the  did to be an entertaining scary kids' cartoon, it just needed to be an entertaining scary kids' cartoon."
320,I can’t believe he’s gone i grew up watching courage the cowardly dog RIP
321,my childhood fav show…. rip thank you for the memories.
322,Rest in peace
323,One of the best cartoon of my childhood....thanks sir for wonderful memories
324,Rest in peace david
325,"Cartoon
network now him bru us gen zs were the last generation of kids who got to experience things cartoons toys clothes atmosphere era that is Generation before us did this is sad"
326,"My condolences goes out to his family!! I love his Creation in art cartoon art !. He show ""courage the cowardly dog"" it's still on TV. He will be remember on this earth.."
327,Rip legend
328,Show got me through some rough times. RIP Sir.
329,"Thank you for giving me a show to grow with, I found my Courage when I used to watch this show. It taught me how to take action & never back down to scary things in life. Rest In Peace!"
330,"For those of you that are unaware, he was the head writer for the show. May he rest in peace. Thank you for all the memories."
331,Heaven rest his soul.
332,What a great show! Thanks for the fun!
333,Omg no way. I literally just bought a funko pop. I came across him before and had nothing to sign!! 90’s was a good year of cartoons thank you REST IN PEACE
334,David was the lead writer for Courage. The voice actor is Marty Grabstein. RIP David
335,Karlton Fretty we are old now
336,I always loved watching Courage with my kids. R.I.P.
337,Rest easy brother your show was a big part of my childhood
338,"This my favorite cartoon when I was 16 years old I love the way old man speaks ""stup1d Dog""
Rest in piece Mr . Cohen"
339,"Thank you for Courage, may you RIP."
340,A solid contributor to my love of all things “weird” . One of my all time favorites.
341,Thanks for the childhood memories
342,Kc Zapanta courage!! The cowardly dog
343,Thank you rest in peace courage for making child hood wonderfull
344,Rip ur legacy will live forever with courage reruns even if the show was sometime nightmare fuel
345,Condolences to his loved ones. May he rest in peace.
346,"He was also a writer and producer , he worked on the movie Balto, which will always be one of my favorites"
347,"Wait I didn’t think this would effect me so much, rest in peace Courage"
348,Rest in Peace David
349,May you still bring joy into lives!!
350,thank you for showing me not to be afraid and show my courage even if I am scared
351,Thank you David Steven Cohen rest in peace
352,Your show made my childhood thank you David
353,Thank you for creating this beautiful cartoon. Courage the Cowardly Dog was part of my childhood. Rest in peace
354,I loved to watch Courage! RIP
355,His work and the work of the people who did this will forever be remembered as one of the real classic cartoon shows for many generations to come
356,"Thank you for making our childhood, happy and unforgettable. R.I.P Sir"
357,"A cowardly dog with such bravery in the face of adversity, a cartoon character worth admiring."
358,Dude I'm crying so much. I'm watching courage the cowardly dog immediately
359,Thank you manI loved your work.
360,I loved that show RIH
361,And that was truly heartbreaking
362,R.I.P. Brother you were a big part in my life..
363,Me and my grandparents always watched courage.. thank you.
364,U made m childhood so fun n laughter rip
365,"Rest in peace man, but please say hi to my buddy topside. He was a huge fan of the series."
